sep=,
DeviceTag:,1
FirmwareVersion:,2.0.0
AppVersion:,2021.0
StartTime: ,2021-10-26_11:48:15_000 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status
0,2108883115,161.92495727539062,-61.48466110229492,18.58329200744629,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,-0.99560546875000,-0.26879882812500,-0.97338867187500,0
1,2108899782,162.42129516601562,-61.77732086181641,18.28126907348633,0.99999350309372,0.00210669171065,0.00207144487649,0.00206381734461,0.21593093872070,0.02201974391937,-0.10375136137009,12.97118186950684,1.28129589557648,-6.20085525512695,14.48429012298584,14.24195384979248,14.18951129913330,-1.00195312500000,-0.26611328125000,-0.97387695312500,0
2,2108916449,163.39645385742188,-62.02572631835938,17.93857765197754,0.99997866153717,0.00596518907696,0.00168114993721,0.00207303930074,0.22013169527054,0.03322654962540,-0.08308964967728,13.22010803222656,1.93644702434540,-4.97484779357910,41.01309204101562,11.55858707427979,14.25298404693604,-1.01147460937500,-0.26782226562500,-0.97460937500000,0
3,2108933116,163.77107238769531,-62.95233917236328,17.71941375732422,0.99996507167816,0.00166815798730,0.00752762984484,0.00322104338557,0.21316224336624,0.04709613323212,-0.08908283710480,12.83853626251221,2.77559471130371,-5.25314521789551,11.46931362152100,51.75573730468750,22.14607810974121,-1.01196289062500,-0.26245117187500,-0.98266601562500,0
4,2108949783,162.40295410156250,-62.40005493164062,17.92896080017090,0.99993610382080,-0.01021781377494,-0.00434239767492,-0.00211491622031,0.18857622146606,0.05663025379181,-0.06206542253494,11.29092693328857,3.45975995063782,-3.73802042007446,-70.25260925292969,-29.85616493225098,-14.54111099243164,-0.99902343750000,-0.25756835937500,-0.98510742187500,0
5,2108966450,162.54147338867188,-62.93344497680664,18.81323242187500,0.99994963407516,0.00815981905907,0.00552768539637,-0.00188909843564,0.19514721632004,0.08306258916855,-0.05532622337341,11.71749210357666,4.97875976562500,-3.29542231559753,56.10260391235352,38.00544357299805,-12.98844337463379,-0.99316406250000,-0.26586914062500,-0.98779296875000,0
6,2108983117,160.40577697753906,-65.08858489990234,20.13204765319824,0.99977654218674,-0.00818462297320,0.01944900304079,0.00127709936351,0.16642367839813,0.04294204711914,-0.04732352495193,10.04234695434570,2.58634686470032,-2.62363886833191,-56.27639389038086,133.72879028320312,8.78116703033447,-0.97070312500000,-0.25878906250000,-1.02001953125000,0
7,2108999784,158.27754211425781,-66.79024505615234,22.05212974548340,0.99986124038696,-0.00316465180367,0.01631976477802,-0.00107101071626,0.13979798555374,0.02416074275970,-0.02926903963089,8.41404438018799,1.46401703357697,-1.61446881294250,-21.75911903381348,112.20941162109375,-7.36392259597778,-0.95361328125000,-0.25073242187500,-1.05297851562500,0
8,2109016451,157.81951904296875,-66.98977661132812,22.79969406127930,0.99999308586121,0.00210151076317,0.00259337946773,-0.00163512583822,0.11097180843353,0.00700557231903,-0.02471214532852,6.66131830215454,0.42811724543571,-1.46630311012268,14.44866752624512,17.83044815063477,-11.24209976196289,-0.95166015625000,-0.25341796875000,-1.06054687500000,0
9,2109033118,158.11361694335938,-66.43595886230469,23.08589363098145,0.99997591972351,0.00495523959398,-0.00408644136041,-0.00263695325702,0.10872060060501,-0.00587284564972,-0.02979248762131,6.51668739318848,-0.34406468272209,-1.81243610382080,34.06931304931641,-28.09596824645996,-18.13013839721680,-0.95361328125000,-0.26025390625000,-1.05493164062500,0
10,2109049785,156.77352905273438,-66.13074493408203,23.86376571655273,0.99997860193253,-0.00538189616054,-0.00138975959271,-0.00345337856561,0.11935591697693,0.00309103727341,-0.03987872600555,7.15719938278198,0.22308123111725,-2.40156149864197,-37.00271987915039,-9.55516052246094,-23.74337959289551,-0.95751953125000,-0.26757812500000,-1.04931640625000,0
11,2109066452,154.66685485839844,-65.89631652832031,24.72397232055664,0.99992829561234,-0.01142605394125,-0.00058812275529,-0.00353374890983,0.12182831764221,0.01713198423386,-0.04119414091110,7.30440664291382,1.08193278312683,-2.46394634246826,-78.56007385253906,-4.04365015029907,-24.29636383056641,-0.95043945312500,-0.26171875000000,-1.05371093750000,0
12,2109083119,153.93437194824219,-65.28453063964844,24.68319702148438,0.99996411800385,-0.00662046298385,-0.00485184974968,-0.00209067761898,0.13828098773956,0.02966314554214,-0.05501097440720,8.27688789367676,1.81899571418762,-3.32894396781921,-45.51858520507812,-33.35859298706055,-14.37432479858398,-0.95312500000000,-0.25585937500000,-1.04736328125000,0
13,2109099786,153.80335998535156,-64.77518463134766,24.54611968994141,0.99998795986176,-0.00213332194835,-0.00419068243355,-0.00141196604818,0.16354459524155,0.04342484474182,-0.07043182849884,9.79102897644043,2.62832760810852,-4.26134824752808,-14.66740608215332,-28.81254959106445,-9.70780849456787,-0.95996093750000,-0.25366210937500,-1.03588867187500,0
14,2109116453,152.93443298339844,-65.37368774414062,25.04862213134766,0.99997836351395,-0.00350653380156,0.00551660638303,0.00077688600868,0.15307146310806,0.03579646348953,-0.08895140886307,9.21511173248291,2.15924811363220,-5.27871036529541,-24.10884284973145,37.92891311645508,5.34140682220459,-0.98925781250000,-0.24804687500000,-1.03955078125000,0
15,2109133120,151.74234008789062,-66.16207885742188,26.00597953796387,0.99996668100357,-0.00268324464560,0.00770481023937,0.00024316739291,0.13076287508011,0.01920872926712,-0.07468897104263,7.88025379180908,1.16255533695221,-4.41762256622314,-18.44847106933594,52.97391510009766,1.67188131809235,-0.97412109375000,-0.24731445312500,-1.05737304687500,0
16,2109149787,151.42236328125000,-66.00460052490234,26.30433082580566,0.99999862909317,-0.00031627528369,-0.00068440102041,-0.00149179250002,0.12310671806335,0.01946771144867,-0.06579583883286,7.38179111480713,1.18033802509308,-3.95236730575562,-2.17450642585754,-4.70550394058228,-10.25661182403564,-0.95458984375000,-0.24853515625000,-1.06372070312500,0
17,2109166454,151.77096557617188,-65.27891540527344,26.03785705566406,0.99997931718826,0.00101652275771,-0.00600335188210,-0.00207540579140,0.12588971853256,0.02927070856094,-0.08388048410416,7.51926088333130,1.76673197746277,-5.07981061935425,6.98900461196899,-41.27547073364258,-14.26925373077393,-0.95239257812500,-0.25341796875000,-1.05371093750000,0
18,2109183121,151.73927307128906,-64.83303833007812,26.04549598693848,0.99999266862869,-0.00012155994773,-0.00339129194617,-0.00177437625825,0.12219566106796,0.03282749652863,-0.09892380237579,7.30793666839600,1.98332679271698,-5.95990419387817,-0.83577001094818,-23.31639671325684,-12.19949817657471,-0.95581054687500,-0.25756835937500,-1.04492187500000,0
19,2109199788,151.46644592285156,-64.65653228759766,26.24862480163574,0.99999845027924,-0.00068188831210,-0.00097237341106,-0.00130715779960,0.10970139503479,0.03053057193756,-0.09629166126251,6.57390689849854,1.84437918663025,-5.78254652023315,-4.68822717666626,-6.68541717529297,-8.98717975616455,-0.95336914062500,-0.26000976562500,-1.04492187500000,0
20,2109216455,151.22105407714844,-64.26560211181641,26.27370643615723,0.99999266862869,-0.00184933841228,-0.00292435102165,-0.00162689015269,0.10722881555557,0.03370952606201,-0.07137304544449,6.41774702072144,2.04093623161316,-4.29735898971558,-12.71489143371582,-20.10600471496582,-11.18547534942627,-0.95336914062500,-0.26196289062500,-1.03979492187500,0
